SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,DFS Match ID,Squiggle Match ID
2026,ROUND 4,Friday April 3,North Melbourne , Carlton, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8067,CD_M20260140402,8067,38523
2026,ROUND 4,Friday April 3,Adelaide Crows , Fremantle, Adelaide Oval,7.15pm,https://www.afl.com.au/afl/matches/8069,CD_M20260140403,8069,38524
2026,ROUND 4,Saturday April 4,Richmond , Port Adelaide, MCG ,4.15pm,https://www.afl.com.au/afl/matches/8070,CD_M20260140404,8070,38525
2026,ROUND 4,Saturday April 4,West Coast Eagles , Sydney Swans, Optus Stadium ,7.35pm,https://www.afl.com.au/afl/matches/8068,CD_M20260140405,8068,38526
2026,ROUND 4,Sunday April 5,Melbourne , Gold Coast Suns, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8074,CD_M20260140406,8074,38527
2026,ROUND 4,Sunday April 5,Western Bulldogs , Essendon, Marvel Stadium,7.20pm,https://www.afl.com.au/afl/matches/8073,CD_M20260140407,8073,38528
2026,ROUND 4,Monday April 6,Hawthorn , Geelong Cats, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8077,CD_M20260140408,8077,38529
2026,ROUND 5,Thursday April 9,Adelaide Crows , Carlton, Adelaide Oval,7.40pm,https://www.afl.com.au/afl/matches/8072,CD_M20260140501,8072,38530
2026,ROUND 5,Friday April 10,Collingwood , Fremantle, Adelaide Oval,7.40pm,https://www.afl.com.au/afl/matches/8076,CD_M20260140502,8076,38531
2026,ROUND 5,Saturday April 11,North Melbourne , Brisbane Lions, Barossa Park ,12.35pm,https://www.afl.com.au/afl/matches/8078,CD_M20260140503,8078,38532
2026,ROUND 5,Saturday April 11,Essendon , Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8079,CD_M20260140504,8079,38533
2026,ROUND 5,Saturday April 11,Sydney Swans , Gold Coast Suns, Norwood Oval,4.15pm,https://www.afl.com.au/afl/matches/8080,CD_M20260140505,8080,38534
2026,ROUND 5,Saturday April 11,Hawthorn , Western Bulldogs, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8081,CD_M20260140506,8081,38535
2026,ROUND 5,Sunday April 12,Geelong Cats , West Coast Eagles, Norwood Oval,12.30pm,https://www.afl.com.au/afl/matches/8082,CD_M20260140507,8082,38536
2026,ROUND 5,Sunday April 12,GWS Giants , Richmond, Barossa Park ,3.15pm,https://www.afl.com.au/afl/matches/8084,CD_M20260140508,8084,38537
2026,ROUND 5,Sunday April 12,Port Adelaide , St Kilda, Adelaide Oval,7.15pm,https://www.afl.com.au/afl/matches/8088,CD_M20260140509,8088,38538
2026,ROUND 6,Thursday April 16,Carlton , Collingwood, MCG ,7.30pm,https://www.afl.com.au/afl/matches/8083,CD_M20260140601,8083,38539
2026,ROUND 6,Friday April 17,Geelong Cats , Western Bulldogs, GMHBA Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8085,CD_M20260140602,8085,38540
2026,ROUND 6,Friday April 17,Sydney Swans ,GWS Giants , SCG ,7.50pm,https://www.afl.com.au/afl/matches/8086,CD_M20260140603,8086,38541
2026,ROUND 6,Saturday April 18,Gold Coast Suns , Essendon, People First Stadium ,1.15pm,https://www.afl.com.au/afl/matches/8087,CD_M20260140604,8087,38542
2026,ROUND 6,Saturday April 18,Hawthorn , Port Adelaide, Marvel Stadium,4.15pm,https://www.afl.com.au/afl/matches/8089,CD_M20260140605,8089,38543
2026,ROUND 6,Saturday April 18,Adelaide Crows , St Kilda, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8092,CD_M20260140606,8092,38544
2026,ROUND 6,Sunday April 19,North Melbourne , Richmond, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8090,CD_M20260140607,8090,38545
2026,ROUND 6,Sunday April 19,Melbourne , Brisbane Lions, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8091,CD_M20260140608,8091,38546
2026,ROUND 6,Sunday April 19,West Coast Eagles , Fremantle, Optus Stadium ,5.10pm,https://www.afl.com.au/afl/matches/8094,CD_M20260140609,8094,38547
2026,ROUND 7,Thursday April 23,Western Bulldogs , Sydney Swans, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8093,CD_M20260140701,8093,38548
2026,ROUND 7,Friday April 24,Richmond , Melbourne, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8097,CD_M20260140702,8097,38549
2026,ROUND 7,Saturday April 25,Hawthorn , Gold Coast Suns, UTAS Stadium ,12.15pm,https://www.afl.com.au/afl/matches/8095,CD_M20260140703,8095,38550
