SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID
2026,ROUND 8,Sunday May 3,Gold Coast Suns , GWS Giants, People First Stadium ,7.20pm,https://www.afl.com.au/afl/matches/8111,CD_M20260140809
2026,ROUND 9,Thursday May 7,Fremantle , Hawthorn, Optus Stadium ,8.10pm,https://www.afl.com.au/afl/matches/8113,CD_M20260140901
2026,ROUND 9,Friday May 8,Brisbane Lions , Carlton, The Gabba ,7.30pm,https://www.afl.com.au/afl/matches/8116,CD_M20260140902
2026,ROUND 9,Friday May 8,Port Adelaide , Western Bulldogs, Adelaide Oval,8.10pm,https://www.afl.com.au/afl/matches/8110,CD_M20260140903
2026,ROUND 9,Saturday May 9,North Melbourne , Sydney Swans, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8112,CD_M20260140904
2026,ROUND 9,Saturday May 9,GWS Giants , Essendon, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8115,CD_M20260140905
2026,ROUND 9,Saturday May 9,Gold Coast Suns , St Kilda, TIO Stadium ,7.10pm,https://www.afl.com.au/afl/matches/8120,CD_M20260140906
2026,ROUND 9,Saturday May 9,Geelong Cats , Collingwood, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8119,CD_M20260140907
2026,ROUND 9,Sunday May 10,Melbourne , West Coast Eagles, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8122,CD_M20260140908
2026,ROUND 9,Sunday May 10,Richmond , Adelaide Crows, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8118,CD_M20260140909
2026,ROUND 10,Thursday May 14,Brisbane Lions , Geelong Cats, The Gabba ,7.30pm,https://www.afl.com.au/afl/matches/8117,CD_M20260141001
2026,ROUND 10,Friday May 15,Sydney Swans , Collingwood, SCG ,7.30pm,https://www.afl.com.au/afl/matches/8121,CD_M20260141002
2026,ROUND 10,Friday May 15,Gold Coast Suns , Port Adelaide, TIO Stadium ,8.10pm,https://www.afl.com.au/afl/matches/8125,CD_M20260141003
2026,ROUND 10,Saturday May 16,Adelaide Crows , North Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8124,CD_M20260141004
2026,ROUND 10,Saturday May 16,Melbourne , Hawthorn, MCG ,4.15pm,https://www.afl.com.au/afl/matches/8129,CD_M20260141005
2026,ROUND 10,Saturday May 16,Carlton , Western Bulldogs, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8123,CD_M20260141006
2026,ROUND 10,Sunday May 17,Essendon , Fremantle, MCG ,1.10pm,https://www.afl.com.au/afl/matches/8126,CD_M20260141007
2026,ROUND 10,Sunday May 17,St Kilda , Richmond, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8127,CD_M20260141008
2026,ROUND 10,Sunday May 17,West Coast Eagles , GWS Giants, Optus Stadium ,6.15pm,https://www.afl.com.au/afl/matches/8128,CD_M20260141009
2026,ROUND 11,Thursday May 21,Hawthorn , Adelaide Crows, UTAS Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8130,CD_M20260141101
2026,ROUND 11,Friday May 22,Richmond , Essendon, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8131,CD_M20260141102
2026,ROUND 11,Friday May 22,Fremantle , St Kilda, Optus Stadium ,8.30pm,https://www.afl.com.au/afl/matches/8133,CD_M20260141103
