SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID
2026,ROUND 20,Sunday July 26,North Melbourne , St Kilda, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8207,CD_M20260142007
2026,ROUND 20,Friday July 24,Melbourne , Geelong Cats, MCG,7.40pm,https://www.afl.com.au/afl/matches/8205,CD_M20260142008
2026,ROUND 20,Saturday July 25,Western Bulldogs , Richmond, Marvel Stadium,7.40pm,https://www.afl.com.au/afl/matches/8204,CD_M20260142009
2026,ROUND 20,Thursday July 23,Adelaide Crows , Collingwood, Adelaide Oval,7.30pm,https://www.afl.com.au/afl/matches/8216,CD_M20260142001
2026,ROUND 20,Friday July 24,Fremantle , West Coast Eagles, Optus Stadium,8.10pm,https://www.afl.com.au/afl/matches/8210,CD_M20260142004
2026,ROUND 21,Saturday August 1,Carlton , Brisbane Lions, Marvel Stadium,7.40pm,https://www.afl.com.au/afl/matches/8209,CD_M20260142101
2026,ROUND 21,Thursday July 30,Collingwood , Geelong Cats, MCG,7.30pm,https://www.afl.com.au/afl/matches/8213,CD_M20260142102
2026,ROUND 21,Sunday August 2,Essendon , Adelaide Crows, Marvel Stadium,4.40pm,https://www.afl.com.au/afl/matches/8211,CD_M20260142103
2026,ROUND 21,Sunday August 2,Gold Coast Suns , Melbourne, People First Stadium,3.15pm,https://www.afl.com.au/afl/matches/8215,CD_M20260142105
2026,ROUND 21,Saturday August 1,Hawthorn , North Melbourne, UTAS Stadium,1.35pm,https://www.afl.com.au/afl/matches/8212,CD_M20260142106
2026,ROUND 21,Sunday August 2,Richmond , West Coast Eagles, MCG,1.10pm,https://www.afl.com.au/afl/matches/8214,CD_M20260142108
2026,ROUND 21,Saturday August 1,St Kilda , Sydney Swans, Marvel Stadium,1.05pm,https://www.afl.com.au/afl/matches/8217,CD_M20260142109
2026,ROUND 21,Saturday August 1,Port Adelaide , GWS Giants, Adelaide Oval,6.35pm,https://www.afl.com.au/afl/matches/8221,CD_M20260142107
2026,ROUND 21,Friday July 31,Fremantle , Western Bulldogs, Optus Stadium,8.10pm,https://www.afl.com.au/afl/matches/8218,CD_M20260142104
2026,ROUND 22,Friday August 7,Brisbane Lions , Hawthorn, The Gabba,7.40pm,https://www.afl.com.au/afl/matches/8223,CD_M20260142202
2026,ROUND 22,Saturday August 8,Geelong Cats , Essendon, GMHBA Stadium,4.35pm,https://www.afl.com.au/afl/matches/8219,CD_M20260142203
2026,ROUND 22,Sunday August 9,GWS Giants , Gold Coast Suns, Corroboree Group Oval Manuka,1.10pm,https://www.afl.com.au/afl/matches/8228,CD_M20260142204
2026,ROUND 22,Saturday August 8,Melbourne , Fremantle, MCG,1.15pm,https://www.afl.com.au/afl/matches/8220,CD_M20260142205
2026,ROUND 22,Sunday August 9,St Kilda , Carlton, Marvel Stadium,7.20pm,https://www.afl.com.au/afl/matches/8225,CD_M20260142206
2026,ROUND 22,Saturday August 8,Sydney Swans , Port Adelaide, SCG,4.15pm,https://www.afl.com.au/afl/matches/8222,CD_M20260142207
2026,ROUND 22,Thursday August 6,Western Bulldogs , North Melbourne, Marvel Stadium,7.30pm,https://www.afl.com.au/afl/matches/8224,CD_M20260142209
2026,ROUND 22,Saturday August 8,Adelaide Crows , Richmond, Adelaide Oval,7.35pm,https://www.afl.com.au/afl/matches/8230,CD_M20260142201
2026,ROUND 22,Sunday August 9,West Coast Eagles , Collingwood, Optus Stadium,4.10pm,https://www.afl.com.au/afl/matches/8227,CD_M20260142208
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Brisbane Lions , Gold Coast Suns, The Gabba,,https://www.afl.com.au/afl/matches/8229,CD_M20260142301
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Essendon , Sydney Swans, MCG,,https://www.afl.com.au/afl/matches/8226,CD_M20260142302
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,GWS Giants , West Coast Eagles, ENGIE Stadium,,https://www.afl.com.au/afl/matches/8233,CD_M20260142304
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Hawthorn , Collingwood, MCG,,https://www.afl.com.au/afl/matches/8244,CD_M20260142305
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,North Melbourne , Geelong Cats, Marvel Stadium,,https://www.afl.com.au/afl/matches/8231,CD_M20260142306
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Richmond , St Kilda, MCG,,https://www.afl.com.au/afl/matches/8238,CD_M20260142308
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Western Bulldogs , Carlton, Marvel Stadium,,https://www.afl.com.au/afl/matches/8232,CD_M20260142309
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Port Adelaide , Melbourne, Adelaide Oval,,https://www.afl.com.au/afl/matches/8234,CD_M20260142307
2026,ROUND 23 (dates and times TBC),Thursday August 13 – Sunday August 16,Fremantle , Adelaide Crows, Optus Stadium,,https://www.afl.com.au/afl/matches/8237,CD_M20260142303
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Collingwood , Brisbane Lions, MCG,,https://www.afl.com.au/afl/matches/8239,CD_M20260142402
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Carlton , Fremantle, Marvel Stadium,,https://www.afl.com.au/afl/matches/8240,CD_M20260142403
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Essendon , Port Adelaide, Marvel Stadium,,https://www.afl.com.au/afl/matches/8235,CD_M20260142404
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Geelong Cats , Richmond, GMHBA Stadium,,https://www.afl.com.au/afl/matches/8246,CD_M20260142405
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Melbourne , Western Bulldogs, MCG,,https://www.afl.com.au/afl/matches/8236,CD_M20260142406
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,St Kilda , Gold Coast Suns, Marvel Stadium,,https://www.afl.com.au/afl/matches/8242,CD_M20260142407
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Sydney Swans , North Melbourne, SCG,,https://www.afl.com.au/afl/matches/8245,CD_M20260142408
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,Adelaide Crows , GWS Giants, Adelaide Oval,,https://www.afl.com.au/afl/matches/8243,CD_M20260142401
2026,ROUND 24 (dates and times TBC),Thursday August 20 – Sunday August 23,West Coast Eagles , Hawthorn, Optus Stadium,,https://www.afl.com.au/afl/matches/8241,CD_M20260142409
